event_id,mom,year,calf
1,1001,1979,1006
2,1001,1983,1301
3,1001,1986,1603
4,1001,1989,1911
5,1001,1992,2201
6,1002,1973,1973CalfOf1002
7,1004,1980,1980CalfOf1004
8,1004,1987,1707
9,1004,1990,2004
10,1004,1994,2404
11,1004,1997,2710
12,1007,1977,1118
13,1007,1982,1982CalfOf1007
14,1007,1986,1609
15,1012,1983,1308
16,1012,1986,1605
17,1012,1991,1991CalfOf1012
18,1012,1996,1996CalfOf1012
19,1012,2001,2001CalfOf1012
20,1012,2005,3512
21,1012,2009,3912
22,1012,2017,2017CalfOf1012
23,1013,1980,1980CalfOf1013
24,1013,1985,1985CalfOf1013
25,1013,1989,1989CalfOf1013
26,1013,1994,2413
27,1013,1997,2713
28,1013,2005,3590
29,1014,1977,1977CalfOf1014
30,1014,1980,1153
31,1014,1983,1302
32,1014,1988,1802
33,1014,1991,2130
34,1014,1997,1997CalfOf1014
35,1025,1980,1026
36,1034,1986,1611
37,1034,1989,1934
38,1039,2001,3139
39,1039,2005,2005CalfOf1039
40,1045,1935,1935CalfOf1045
41,1046,1976,1976CalfOf1046
42,1114,1990,2014
43,1114,1996,2614
44,1118,1984,1408
45,1118,1987,1702
46,1118,1990,2018
47,1118,1997,1997CalfOf1118
48,1123,1991,2123
49,1123,2001,3123
50,1123,2004,3423
51,1123,2008,3823
52,1123,2011,4123
53,1127,1976,1976CalfOf1127
54,1127,1981,1128
55,1127,1984,1404
56,1127,1987,1709
57,1127,1990,2027
58,1127,1994,2427
59,1135,1967,1967CalfOf1135
60,1135,1974,1974CalfOf1135
61,1135,1981,1163
62,1135,1984,1406
63,1135,1987,1706
64,1135,1991,2135
65,1135,1996,2635
66,1140,1982,1245
67,1140,1987,1704
68,1140,1990,2040
69,1140,1994,2440
70,1140,2001,3140
71,1140,2005,3540
72,1140,2013,4340
73,1142,1977,1977CalfOf1142
74,1142,1981,1123
75,1142,1984,1411
76,1142,1990,2042
77,1142,1996,2642
78,1142,2001,3142
79,1142,2004,3442
80,1142,2009,3942
