age_id,nea,year,age,age_class,alive_status
1,1001,1978,NULL,A,A
2,1001,1979,NULL,A,A
3,1001,1980,NULL,A,A
4,1001,1981,NULL,A,A
5,1001,1982,NULL,A,A
6,1001,1983,NULL,A,A
7,1001,1984,NULL,A,A
8,1001,1985,NULL,A,A
9,1001,1986,NULL,A,A
10,1001,1987,NULL,A,A
11,1001,1988,NULL,A,A
12,1001,1989,NULL,A,A
13,1001,1990,NULL,A,A
14,1001,1991,NULL,A,A
15,1001,1992,NULL,A,A
16,1001,1993,NULL,A,A
17,1001,1994,NULL,A,A
18,1001,1995,NULL,A,A
19,1001,1996,NULL,A,A
20,1001,1997,NULL,A,A
21,1001,1998,NULL,A,P
22,1001,1999,NULL,A,SP
23,1001,2000,NULL,A,SP
24,1001,2001,NULL,A,SP
25,1001,2002,NULL,A,SP
26,1001,2003,NULL,A,SP
27,1001,2004,NULL,A,SP
28,1001,2005,NULL,A,SP
29,1001,2006,NULL,A,SP
30,1001,2007,NULL,A,SP
31,1001,2008,NULL,A,SP
32,1001,2009,NULL,A,SP
33,1001,2010,NULL,A,SP
34,1001,2011,NULL,A,SP
35,1001,2012,NULL,A,SP
36,1001,2013,NULL,A,SP
37,1001,2014,NULL,A,SP
38,1001,2015,NULL,A,SP
39,1001,2016,NULL,A,SP
40,1001,2017,NULL,A,SP
41,1001,2018,NULL,A,SP
42,1002,1973,NULL,A,A
43,1002,1974,NULL,A,A
44,1002,1975,NULL,A,A
45,1002,1976,NULL,A,A
46,1002,1977,NULL,A,A
47,1002,1978,NULL,A,A
48,1002,1979,NULL,A,P
49,1002,1980,NULL,A,SP
50,1002,1981,NULL,A,SP
51,1002,1982,NULL,A,SP
52,1002,1983,NULL,A,SP
53,1002,1984,NULL,A,SP
54,1002,1985,NULL,A,SP
55,1002,1986,NULL,A,SP
56,1002,1987,NULL,A,SP
57,1002,1988,NULL,A,SP
58,1002,1989,NULL,A,SP
59,1002,1990,NULL,A,SP
60,1002,1991,NULL,A,SP
61,1002,1992,NULL,A,SP
62,1002,1993,NULL,A,SP
63,1002,1994,NULL,A,SP
64,1002,1995,NULL,A,SP
65,1002,1996,NULL,A,SP
66,1002,1997,NULL,A,SP
67,1002,1998,NULL,A,SP
68,1002,1999,NULL,A,SP
69,1002,2000,NULL,A,SP
70,1002,2001,NULL,A,SP
71,1002,2002,NULL,A,SP
72,1002,2003,NULL,A,SP
73,1002,2004,NULL,A,SP
74,1002,2005,NULL,A,SP
75,1002,2006,NULL,A,SP
76,1002,2007,NULL,A,SP
77,1002,2008,NULL,A,SP
78,1002,2009,NULL,A,SP
79,1002,2010,NULL,A,SP
80,1002,2011,NULL,A,SP
81,1002,2012,NULL,A,SP
82,1002,2013,NULL,A,SP
83,1002,2014,NULL,A,SP
84,1002,2015,NULL,A,SP
85,1002,2016,NULL,A,SP
86,1002,2017,NULL,A,SP
87,1002,2018,NULL,A,SP
88,1003,1975,NULL,U,A
89,1003,1976,NULL,U,A
90,1003,1977,NULL,U,A
91,1003,1978,NULL,U,A
92,1003,1979,NULL,U,A
93,1003,1980,NULL,U,A
94,1003,1981,NULL,U,P
95,1003,1982,NULL,U,SP
96,1003,1983,NULL,A,SP
97,1003,1984,NULL,A,SP
98,1003,1985,NULL,A,SP
99,1003,1986,NULL,A,SP
